date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:46:43	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2012%20Apr%202022%2013:37:49%20GMT	https://nerofxinvest.com/robots.txt		(from )
01:46:43	92237/92237	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jun%202023%2000:46:44%20GMT	https://nerofxinvest.com/	C:/Web_designing/second_clone_training/nerofxinvest.com/index.html	(from )
01:46:43	134246/134246	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2010%20Jul%202022%2007:33:06%20GMT	https://nerofxinvest.com/home/js/vendors/uikit.min.js	C:/Web_designing/second_clone_training/nerofxinvest.com/home/js/vendors/uikit.min.js	(from https://nerofxinvest.com/)
01:46:44	251629/251629	---M-Z	200	added ('OK')	text/css	date:Sun,%2010%20Jul%202022%2007:33:06%20GMT	https://nerofxinvest.com/home/css/vendors/uikit.min.css	C:/Web_designing/second_clone_training/nerofxinvest.com/home/css/vendors/uikit.min.css	(from https://nerofxinvest.com/)
01:46:44	145028/145028	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Sep%202022%2015:16:33%20GMT	https://nerofxinvest.com/home/css/style.css	C:/Web_designing/second_clone_training/nerofxinvest.com/home/css/style.css	(from https://nerofxinvest.com/)
01:46:44	76764/76764	---M--	200	added ('OK')	font/woff2	date:Sun,%2010%20Jul%202022%2007:33:06%20GMT	https://nerofxinvest.com/home/fonts/fa-brands-400.woff2	C:/Web_designing/second_clone_training/nerofxinvest.com/home/fonts/fa-brands-400.woff2	(from https://nerofxinvest.com/)
01:46:45	78196/78196	---M--	200	added ('OK')	font/woff2	date:Sun,%2010%20Jul%202022%2007:33:06%20GMT	https://nerofxinvest.com/home/fonts/fa-solid-900.woff2	C:/Web_designing/second_clone_training/nerofxinvest.com/home/fonts/fa-solid-900.woff2	(from https://nerofxinvest.com/)
01:46:45	12516/12516	---M--	200	added ('OK')	font/woff2	date:Sun,%2010%20Jul%202022%2007:33:06%20GMT	https://nerofxinvest.com/home/fonts/archivo-v9-latin-regular.woff2	C:/Web_designing/second_clone_training/nerofxinvest.com/home/fonts/archivo-v9-latin-regular.woff2	(from https://nerofxinvest.com/)
01:46:45	12408/12408	---M--	200	added ('OK')	font/woff2	date:Sun,%2010%20Jul%202022%2007:33:06%20GMT	https://nerofxinvest.com/home/fonts/archivo-v9-latin-300.woff2	C:/Web_designing/second_clone_training/nerofxinvest.com/home/fonts/archivo-v9-latin-300.woff2	(from https://nerofxinvest.com/)
01:46:46	12352/12352	---M--	200	added ('OK')	font/woff2	date:Sun,%2010%20Jul%202022%2007:33:06%20GMT	https://nerofxinvest.com/home/fonts/archivo-v9-latin-700.woff2	C:/Web_designing/second_clone_training/nerofxinvest.com/home/fonts/archivo-v9-latin-700.woff2	(from https://nerofxinvest.com/)
